Date,Time,Device Number,Hotel Guest?,AP?,On Property?,Which resort?,Meal Plan?,# Trips,Within past 5 years,Country of Residence,People in group,Relationship,Person 1 gender,person 1 age,person 2 gender,person 2 age,person 3 gender,person 3 age,person 4 gender,person 4 age,person 5 gender,person 5 age,Thrill Rides,Non-Thrill Rides,Indoor Shows,Parades and Fireworks,Meeting Characters,Overall Atmosphere,Plan for the day?,Dining reservations?,Must See attractions?,List,"Wait for ""must see""",Wait for others,
4/26/2011,9:52:00,211,,N,N,,,5+,Y,France,7,Family,M,30,F,29,M,60,F,56,,,,Non-thrill rides,Indoor shows,PArades and fireworks,Meeting characters,Overall atmosphere,Definitely,N,Y,Enfanta,30,30,
4/26/2011,9:30:00,213,,N,Y,Cheyenne,N,1,,Belgium,4,Family,F,38,M,35,F,4,F,2,,,,,,,,Overall atmosphere,Not really,Y,,,,,
4/26/2011,10:52:00,214,,N,N,,,1,,India,4,FAmily,,,,,,,,,,,Thrill rides,Non-thrill rides,Indoor shows,PArades and fireworks,Meeting characters,Overall atmosphere,,N,,,,,
4/26/2011,10:30:00,216,Y-4/28,Y,Y,,,'2-4,Y,Switzerland,4,Family,M,,F,14,M,11,F,,,,Thrill rides,Non-thrill rides,Indoor shows,,,,None,Y,Y,Tower,30,30,
4/26/2011,9:40:00,217,,N,Y,Newport,Y,1,,UK,4,Family,M,41,F,36,F,6,M,2,,,,Non-thrill rides,Indoor shows,,,OVerall atmosphere,None,Y,N,,30,30,
4/26/2011,10:30:00,219,,Y,Y,,,5+,Y,France,5,Family,M,33,F,44,M,10,M,6,F,,Thrill rides,,,,,OVerall atmosphere,Definitely,N,Y,"Pirates, Space Mountain",30,30,
4/26/2011,10:32:00,220,,N,Y,Sequoia,N,'2-4,N,France,4,FAmily,M,40,F,37,M,9,M,6,,,,Non-thrill rides,,,Meeting characters,Overall atmosphere,Not really,N,Y,Bay/Cascadeurs,30,15,
4/26/2011,10:00:00,222,,N,N,,,'2-4,,France,5,FAmily,M,63,F,60,M,42,F,40,F,32,,Non-thrill rides,Indoor shows,Parades and fireworks,,,,,,,10,10,
4/26/2011,10:35:00,225,,N,Y,Cheyenne,Y,1,,France,4,FAmily,M,30,F,34,M,11,F,5,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,Y,N,,30,15,
4/26/2011,9:41:00,227,,Y,N,,,'2-4,,Netherlands,5,Family,F,43,M,43,M,10,F,9,M,1,,,,,Meeting characters,,Definitely,Y,Y,,,,
4/26/2011,10:30:00,228,,N,N,,,'2-4,,France,3,FAmily,M,35,F,30,M,3,,,,,,,,,Meeting characters,,Somewhat,N,,,15,10,
4/26/2011,9:30:00,229,Y-?,N,Y,New York,N,5+,Y,Italy,4,Family,F,41,M,45,F,16,F,11,,,Thrill rides,Non-thrill rides,,,,Overall atmosphere,Somewhat,N,Y,Nemo,60,30,
4/26/2011,10:15:00,230,,N,N,,,1,,France,2,Couple,M,19,F,19,,,,,,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Not really,N,N,,30,30,
4/26/2011,10:50:00,234,,N,Y,Sequoia,Y,'2-4,Y,France,6,Family,F,,M,,F,,F,,M,,Thrill rides,Non-thrill rides,,Parades and fireworks,Meeting characters,,None,Y,Y,Guitare,45,60,
4/26/2011,10:00:00,235,,N,Y,Sequoia,Y,'2-4,N,France,2,Couple,M,31,F,35,,,,,,,Thrill rides,Non-thrill rides,Indoor shows,,,Overall atmosphere,Somewhat,Y,Y,Space Mountain,30,30,
4/26/2011,9:29:00,238,,,Y,Davy Crockett,Y,1,,Germany,4,Family,F,31,M,43,F,10,M,11,,,Thrill rides,,,Parades and fireworks,Meeting characters,,Somewhat,Y,Y,Space Mountain,,30,
4/26/2011,10:50:00,238,,N,N,,,'2-4,N,France,2,Couple,F,25,M,29,,,,,,,Thrill rides,,,,,Overall atmosphere,None,N,,,,,
4/26/2011,10:03:00,240,,N,Y,Newport,Y,1,,France,4,Family,M,30,F,40,M,9,M,7,,,Thrill rides,,,,,,None,N,Y,,30,30,
4/26/2011,10:00:00,244,,N,N,,,'2-4,Y,France,4,Family,F,39,M,40,M,13,M,9,,,,,,,Meeting characters,Overall atmosphere,Not really,N,Y,Pirates,30,20,
4/26/2011,10:00:00,245,,N,Y,,Y,'2-4,N,Poland,4,Family,,,,,,,,,,,Thrill rides,,,Parades and fireworks,,,,N,,,,,
4/26/2011,11:12:00,245,,N,Y,Santa Fe,Y,'2-4,Y,France,4,Family,M,38,M,15,F,11,M,11,,,Thrill rides,Non-thrill rides,,,Meeting characters,,None,N,N,,,30,
4/26/2011,,245,,N,N,,,'2-4,N,Netherlands,4,Family,F,39,M,40,F,6,M,9,,,,Non-thrill rides,Indoor shows,,,Overall atmosphere,Somewhat,N,,,,,
4/26/2011,9:36:00,247,,N,N,,,1,,France,5,Family,M,21,M,28,M,22,F,18,F,,Thrill rides,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,None,N,N,,,,
4/26/2011,10:20:00,?,,N,Y,Cheyenne,Y,1,,France,4,Family,M,55,F,56,M,5,M,4,,,,Non-thrill rides,,Parades and fireworks,,,Not really,Y,,,30,30,
4/26/2011,9:30:00,?,,N,N,,,'2-4,N,France,3,Family,M,53,F,44,M,10,,,,,Thrill rides,Non-thrill rides,,,,Overall atmosphere,Somewhat,N,N,,30,30,
4/26/2011,10:30:00,72?73?,Y-4/28,N,Y,Sequoia,Y,1,,France,3,Family,M,58,F,57,F,8,,,,,,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Somewhat,Y,N,,,20,
4/27/2011,10:23:00,10,,N,N,,,'2-4,Y,France,3,Family,M,45,F,40,M,10,,,,,,Non-thrill rides,Indoor shows,Parades and fireworks,Meeting characters,Overall atmosphere,Definitely,N,,,,,
4/27/2011,10:19:00,11,,Y,N,,,1,Y,Spain,4,Family,F,42,M,42,M,7,M,4,,,Thrill rides,Non-thrill rides,,Parades and fireworks,Meeting characters,Overall atmosphere,Somewhat,N,,,,,
4/27/2011,9:35:00,12,,Y,Y,,,1,,Germany,3,Family,F,48,F,13,M,48,,,,,Thrill rides,,Indoor shows,Parades and fireworks,,,Not really,N,N,,45,30,
4/27/2011,9:17:00,13,,N,N,,,1,,UK,4,Family,F,47,F,9,F,9,M,49,,,Thrill rides,Non-thrill rides,,Parades and fireworks,,Overall atmosphere,Not really,N,,,,,
4/27/2011,10:25:00,14,Y-4/28,N,Y,Santa Fe,N,5+,Y,France,4,Family,M,34,F,34,F,4,M,2,,,Thrill rides,,Indoor shows,Parades and fireworks,,,Not really,Y,N,,30,60,
4/27/2011,9:50:00,15,,N,N,,,1,Y,Switzerland,2,Couple,F,20,M,21,,,,,,,Thrill rides,,Indoor shows,Parades and fireworks,,,Not really,N,,,,,
4/27/2011,10:40:00,16,,N,Y,Davy Crockett,N,'2-4,N,Germany,5,Family,M,29,F,29,F,54,F,11,M,13,Thrill rides,,,Parades and fireworks,,Overall atmosphere,Definitely,N,,,,,
4/27/2011,9:15:00,17,,Y,Y,Davy Crockett,N,1,,Netherlands,4,Family,F,47,M,39,F,7,M,11,,,Thrill rides,,,,Meeting characters,Overall atmosphere,Somewhat,N,,,,,
4/27/2011,10:55:00,19,Y-4/28,N,Y,New York,N,'2-4,Y,UK,4,Family,F,35,M,38,F,8,F,3,,,,,Indoor shows,,Meeting characters,Overall atmosphere,Somewhat,N,,,,,
